location,direction,ts,value
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-07,109.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-07,67.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-07,40.0
Podbabská,ul. Roztocká,2018-01-07,22.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-07,27.0
Povltavská, ul. Vodácká,2018-01-07,70.0
Povltavská,ZOO,2018-01-07,121.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-07,
Rohanské nábřeží,z centra (Karlín),2018-01-07,
Šeberov,Kunratice,2018-01-07,24.0
Šeberov,Šeberov,2018-01-07,20.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-07,83.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-07,133.0
Krč (Sulická),Lhotka,2018-01-07,46.0
Krč (Sulická),Krč,2018-01-07,56.0
Císařský ostrov,do centra (Stromovka),2018-01-07,32.0
Císařský ostrov,z centra (Trója),2018-01-07,44.0
Stezka okolo Rokytky,O2 Aréna,2018-01-07,54.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-07,72.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-07,22.0
Drážní stezka - Vítkov,Seifertova,2018-01-07,25.0
Modřany,z centra,2018-01-07,260.0
Modřany,centrum,2018-01-07,277.0
Vršovická,Strašnice,2018-01-07,41.0
Vršovická,Nusle,2018-01-07,49.0
Košíře,centrum,2018-01-07,23.0
Barrandovský most,Barrandovský most,2018-01-08,81.0
Barrandovský most,Zlíchov,2018-01-08,99.0
Chodov,Chodov centrum,2018-01-08,41.0
Chodov,ul. Türkova,2018-01-08,32.0
Celetná,Ovocný trh,2018-01-08,128.0
Celetná,Prašná brána,2018-01-08,126.0
Dukelských hrdinů,centrum,2018-01-08,57.0
Dukelských hrdinů,z centra,2018-01-08,75.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-08,46.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-08,66.0
Hlubočepská,centrum,2018-01-08,65.0
Hlubočepská,Hlubočepy,2018-01-08,70.0
Jeremenkova,Pankrác,2018-01-08,55.0
Jeremenkova,Podolské nábřeží,2018-01-08,32.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-08,72.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-08,107.0
Letňany,z centra,2018-01-08,35.0
Letňany,centrum,2018-01-08,36.0
Radotín,Radotín,2018-01-08,32.0
Radotín,Zbraslav,2018-01-08,27.0
Nuselský most,centrum,2018-01-08,73.0
Nuselský most,ul. 5. května,2018-01-08,64.0
Střešovice,do centra,2018-01-08,13.0
Střešovice,z centra,2018-01-08,10.0
Pelléova,Jaselská,2018-01-08,53.0
Pelléova,Milady Horákové,2018-01-08,67.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-08,129.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-08,178.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-08,104.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-08,54.0
Podbabská,ul. Roztocká,2018-01-08,20.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-08,12.0
Povltavská, ul. Vodácká,2018-01-08,47.0
Povltavská,ZOO,2018-01-08,65.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-08,
Rohanské nábřeží,z centra (Karlín),2018-01-08,
Šeberov,Kunratice,2018-01-08,16.0
Šeberov,Šeberov,2018-01-08,7.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-08,32.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-08,47.0
Krč (Sulická),Lhotka,2018-01-08,61.0
Krč (Sulická),Krč,2018-01-08,59.0
Císařský ostrov,do centra (Stromovka),2018-01-08,
Císařský ostrov,z centra (Trója),2018-01-08,
Stezka okolo Rokytky,O2 Aréna,2018-01-08,46.0
